"abunds","moon_dates"
0,"1977-07-16"
0,"1977-08-14"
0,"1977-09-13"
0,"1977-10-12"
0,"1977-11-11"
0,"1977-12-10"
0,"1978-01-08"
0,"1978-02-07"
0,"1978-03-08"
0,"1978-04-07"
0,"1978-05-06"
0,"1978-06-05"
0,"1978-07-05"
0,"1978-08-03"
0,"1978-09-02"
0,"1978-10-01"
0,"1978-10-31"
0,"1978-11-30"
NA,"1978-12-29"
0,"1979-01-27"
0,"1979-02-26"
0,"1979-03-27"
0,"1979-04-26"
0,"1979-05-25"
0,"1979-06-24"
0,"1979-07-23"
0,"1979-08-22"
0,"1979-09-21"
0,"1979-10-20"
0,"1979-11-19"
NA,"1979-12-19"
0,"1980-01-17"
0,"1980-02-16"
0,"1980-03-16"
0,"1980-04-14"
0,"1980-05-14"
0,"1980-06-12"
0,"1980-07-11"
0,"1980-08-10"
0,"1980-09-09"
0,"1980-10-08"
0,"1980-11-07"
0,"1980-12-07"
0,"1981-01-06"
0,"1981-02-04"
0,"1981-03-06"
NA,"1981-04-04"
0,"1981-05-03"
0,"1981-06-02"
0,"1981-07-01"
0,"1981-07-30"
0,"1981-08-29"
0,"1981-09-27"
0,"1981-10-27"
0,"1981-11-26"
0,"1981-12-26"
0,"1982-01-24"
0,"1982-02-23"
0,"1982-03-25"
0,"1982-04-23"
0,"1982-05-22"
0,"1982-06-21"
0,"1982-07-20"
0,"1982-08-18"
0,"1982-09-17"
NA,"1982-10-16"
0,"1982-11-15"
NA,"1982-12-15"
0,"1983-01-13"
0,"1983-02-12"
0,"1983-03-14"
0,"1983-04-13"
0,"1983-05-12"
0,"1983-06-10"
0,"1983-07-10"
0,"1983-08-08"
0,"1983-09-06"
0,"1983-10-06"
0,"1983-11-04"
0,"1983-12-04"
NA,"1984-01-02"
0,"1984-02-01"
0,"1984-03-02"
0,"1984-04-01"
NA,"1984-04-30"
0,"1984-05-30"
0,"1984-06-28"
0,"1984-07-28"
0,"1984-08-26"
0,"1984-09-24"
0,"1984-10-24"
NA,"1984-11-22"
0,"1984-12-22"
0,"1985-01-20"
0,"1985-02-19"
0,"1985-03-21"
NA,"1985-04-19"
0,"1985-05-19"
0,"1985-06-18"
0,"1985-07-17"
0,"1985-08-16"
1,"1985-09-14"
0,"1985-10-13"
0,"1985-11-12"
0,"1985-12-11"
NA,"1986-01-10"
NA,"1986-02-08"
0,"1986-03-10"
1,"1986-04-08"
0,"1986-05-08"
0,"1986-06-07"
0,"1986-07-06"
0,"1986-08-05"
0,"1986-09-04"
0,"1986-10-03"
0,"1986-11-01"
0,"1986-12-01"
NA,"1986-12-30"
0,"1987-01-29"
0,"1987-02-27"
0,"1987-03-29"
0,"1987-04-27"
1,"1987-05-27"
1,"1987-06-25"
2,"1987-07-25"
1,"1987-08-24"
2,"1987-09-22"
0,"1987-10-22"
