"abunds","moon_dates"
0,"1987-11-20"
NA,"1987-12-20"
0,"1988-01-18"
0,"1988-02-17"
0,"1988-03-17"
0,"1988-04-16"
1,"1988-05-15"
1,"1988-06-14"
1,"1988-07-13"
2,"1988-08-12"
0,"1988-09-10"
0,"1988-10-10"
0,"1988-11-09"
0,"1988-12-08"
0,"1989-01-07"
0,"1989-02-06"
0,"1989-03-07"
1,"1989-04-05"
0,"1989-05-05"
0,"1989-06-03"
0,"1989-07-02"
0,"1989-08-01"
0,"1989-08-30"
0,"1989-09-29"
0,"1989-10-29"
0,"1989-11-28"
0,"1989-12-27"
0,"1990-01-26"
0,"1990-02-25"
0,"1990-03-26"
0,"1990-04-24"
0,"1990-05-24"
0,"1990-06-22"
0,"1990-07-21"
0,"1990-08-20"
0,"1990-09-18"
0,"1990-10-18"
0,"1990-11-17"
0,"1990-12-16"
0,"1991-01-15"
0,"1991-02-14"
0,"1991-03-16"
0,"1991-04-14"
0,"1991-05-13"
0,"1991-06-12"
0,"1991-07-11"
0,"1991-08-09"
0,"1991-09-08"
0,"1991-10-07"
0,"1991-11-06"
0,"1991-12-05"
0,"1992-01-04"
0,"1992-02-03"
0,"1992-03-04"
0,"1992-04-02"
0,"1992-05-02"
0,"1992-05-31"
1,"1992-06-30"
2,"1992-07-29"
1,"1992-08-27"
0,"1992-09-26"
0,"1992-10-25"
NA,"1992-11-24"
1,"1992-12-23"
0,"1993-01-22"
1,"1993-02-21"
1,"1993-03-23"
2,"1993-04-21"
1,"1993-05-21"
1,"1993-06-19"
3,"1993-07-19"
2,"1993-08-17"
1,"1993-09-15"
0,"1993-10-15"
0,"1993-11-13"
0,"1993-12-13"
0,"1994-01-11"
0,"1994-02-10"
0,"1994-03-12"
1,"1994-04-10"
1,"1994-05-10"
0,"1994-06-09"
1,"1994-07-08"
1,"1994-08-07"
1,"1994-09-05"
0,"1994-10-04"
0,"1994-11-03"
0,"1994-12-02"
0,"1995-01-01"
0,"1995-01-30"
0,"1995-03-01"
0,"1995-03-30"
0,"1995-04-29"
0,"1995-05-29"
0,"1995-06-27"
1,"1995-07-27"
2,"1995-08-25"
7,"1995-09-24"
6,"1995-10-23"
4,"1995-11-22"
1,"1995-12-21"
1,"1996-01-20"
2,"1996-02-18"
1,"1996-03-19"
5,"1996-04-17"
3,"1996-05-17"
4,"1996-06-15"
4,"1996-07-15"
6,"1996-08-14"
2,"1996-09-12"
1,"1996-10-12"
0,"1996-11-10"
0,"1996-12-10"
NA,"1997-01-08"
0,"1997-02-07"
1,"1997-03-08"
3,"1997-04-07"
4,"1997-05-06"
4,"1997-06-05"
5,"1997-07-04"
3,"1997-08-03"
NA,"1997-09-01"
1,"1997-10-01"
0,"1997-10-31"
0,"1997-11-29"
1,"1997-12-29"
0,"1998-01-27"
0,"1998-02-26"
0,"1998-03-27"
1,"1998-04-26"
1,"1998-05-25"
0,"1998-06-23"
0,"1998-07-23"
4,"1998-08-21"
3,"1998-09-20"
3,"1998-10-20"
0,"1998-11-18"
0,"1998-12-18"
0,"1999-01-17"
0,"1999-02-15"
0,"1999-03-17"
0,"1999-04-15"
1,"1999-05-15"
1,"1999-06-13"
NA,"1999-07-12"
NA,"1999-08-11"
0,"1999-09-09"
0,"1999-10-09"
1,"1999-11-07"
0,"1999-12-07"
0,"2000-01-06"
0,"2000-02-05"
1,"2000-03-05"
NA,"2000-04-04"
0,"2000-05-03"
3,"2000-06-02"
3,"2000-07-01"
4,"2000-07-30"
4,"2000-08-29"
1,"2000-09-27"
NA,"2000-10-27"
0,"2000-11-25"
0,"2000-12-25"
1,"2001-01-24"
0,"2001-02-23"
0,"2001-03-24"
0,"2001-04-23"
0,"2001-05-22"
0,"2001-06-21"
NA,"2001-07-20"
3,"2001-08-18"
4,"2001-09-17"
3,"2001-10-16"
1,"2001-11-14"
0,"2001-12-14"
1,"2002-01-13"
0,"2002-02-12"
1,"2002-03-13"
3,"2002-04-12"
5,"2002-05-12"
6,"2002-06-10"
5,"2002-07-10"
NA,"2002-08-08"
1,"2002-09-06"
2,"2002-10-06"
3,"2002-11-04"
1,"2002-12-04"
2,"2003-01-02"
0,"2003-02-01"
0,"2003-03-02"
2,"2003-04-01"
3,"2003-05-01"
4,"2003-05-30"
4,"2003-06-29"
5,"2003-07-28"
4,"2003-08-27"
1,"2003-09-25"
0,"2003-10-25"
0,"2003-11-23"
0,"2003-12-23"
0,"2004-01-21"
0,"2004-02-20"
0,"2004-03-20"
0,"2004-04-19"
0,"2004-05-18"
1,"2004-06-17"
3,"2004-07-17"
1,"2004-08-15"
1,"2004-09-14"
5,"2004-10-13"
3,"2004-11-12"
1,"2004-12-11"
0,"2005-01-10"
NA,"2005-02-08"
0,"2005-03-10"
1,"2005-04-08"
2,"2005-05-08"
4,"2005-06-06"
4,"2005-07-06"
10,"2005-08-04"
9,"2005-09-03"
7,"2005-10-03"
3,"2005-11-01"
1,"2005-12-01"
1,"2005-12-30"
1,"2006-01-29"
1,"2006-02-27"
1,"2006-03-29"
3,"2006-04-27"
8,"2006-05-26"
NA,"2006-06-25"
17,"2006-07-24"
NA,"2006-08-23"
5,"2006-09-22"
6,"2006-10-21"
10,"2006-11-20"
6,"2006-12-20"
3,"2007-01-18"
1,"2007-02-17"
7,"2007-03-18"
6,"2007-04-17"
3,"2007-05-16"
5,"2007-06-14"
5,"2007-07-14"
8,"2007-08-12"
6,"2007-09-11"
3,"2007-10-10"
3,"2007-11-09"
0,"2007-12-09"
0,"2008-01-08"
1,"2008-02-06"
1,"2008-03-07"
1,"2008-04-05"
1,"2008-05-05"
3,"2008-06-03"
2,"2008-07-02"
1,"2008-08-01"
0,"2008-08-30"
0,"2008-09-29"
0,"2008-10-28"
0,"2008-11-27"
0,"2008-12-27"
0,"2009-01-26"
0,"2009-02-24"
0,"2009-03-26"
0,"2009-04-24"
0,"2009-05-24"
2,"2009-06-22"
0,"2009-07-21"
1,"2009-08-20"
0,"2009-09-18"
0,"2009-10-17"
0,"2009-11-16"
0,"2009-12-16"
0,"2010-01-15"
0,"2010-02-13"
0,"2010-03-15"
1,"2010-04-14"
0,"2010-05-13"
NA,"2010-06-12"
1,"2010-07-11"
NA,"2010-08-09"
4,"2010-09-08"
NA,"2010-10-07"
1,"2010-11-05"
NA,"2010-12-05"
0,"2011-01-04"
0,"2011-02-02"
0,"2011-03-04"
4,"2011-04-03"
0,"2011-05-02"
2,"2011-06-01"
7,"2011-07-01"
6,"2011-07-30"
5,"2011-08-28"
7,"2011-09-27"
9,"2011-10-26"
NA,"2011-11-24"
1,"2011-12-24"
1,"2012-01-23"
2,"2012-02-21"
3,"2012-03-22"
5,"2012-04-21"
6,"2012-05-20"
9,"2012-06-19"
13,"2012-07-18"
12,"2012-08-17"
9,"2012-09-15"
6,"2012-10-15"
2,"2012-11-13"
0,"2012-12-13"
0,"2013-01-11"
0,"2013-02-10"
1,"2013-03-11"
7,"2013-04-10"
1,"2013-05-09"
NA,"2013-06-08"
11,"2013-07-08"
NA,"2013-08-06"
5,"2013-09-05"
NA,"2013-10-04"
4,"2013-11-03"
NA,"2013-12-02"
2,"2014-01-01"
1,"2014-01-30"
3,"2014-03-01"
5,"2014-03-30"
7,"2014-04-28"
5,"2014-05-28"
11,"2014-06-27"
5,"2014-07-26"
12,"2014-08-25"
7,"2014-09-23"
6,"2014-10-23"
3,"2014-11-22"
1,"2014-12-21"
1,"2015-01-20"
3,"2015-02-18"
3,"2015-03-20"
4,"2015-04-18"
8,"2015-05-17"
6,"2015-06-16"
9,"2015-07-15"
11,"2015-08-14"
9,"2015-09-12"
4,"2015-10-12"
2,"2015-11-11"
NA,"2015-12-11"
NA,"2016-01-09"
0,"2016-02-08"
1,"2016-03-08"
NA,"2016-04-07"
2,"2016-05-06"
6,"2016-06-04"
3,"2016-07-04"
7,"2016-08-02"
3,"2016-09-01"
0,"2016-09-30"
1,"2016-10-30"
NA,"2016-11-29"
NA,"2016-12-28"
0,"2017-01-27"
0,"2017-02-26"
2,"2017-03-27"
3,"2017-04-26"
4,"2017-05-25"
4,"2017-06-24"
6,"2017-07-23"
7,"2017-08-21"
9,"2017-09-20"
6,"2017-10-19"
3,"2017-11-18"
1,"2017-12-18"
0,"2018-01-17"
0,"2018-02-15"
3,"2018-03-16"
1,"2018-04-15"
7,"2018-05-14"
6,"2018-06-13"
6,"2018-07-12"
3,"2018-08-11"
4,"2018-09-09"
2,"2018-10-09"
0,"2018-11-07"
NA,"2018-12-07"
NA,"2019-01-05"
NA,"2019-02-04"
1,"2019-03-06"
1,"2019-04-04"
1,"2019-05-04"
5,"2019-06-02"
1,"2019-07-02"
2,"2019-07-31"
2,"2019-08-30"
2,"2019-09-28"
1,"2019-10-28"
0,"2019-11-26"
0,"2019-12-26"
0,"2020-01-24"
